#Energy 	 NLD
14.8303	24549.3
14.8592	24941.9
14.8881	25340.5
14.917	25745.2
14.9459	26155.9
14.9747	26572.9
15.0036	26996.1
15.0325	27425.7
15.0614	27861.8
15.0903	28304.4
15.1191	28753.7
15.148	29209.8
15.1769	29672.6
15.2058	30142.5
15.2347	30619.3
15.2635	31103.3
15.2924	31594.5
15.3213	32093.1
15.3502	32599.1
15.3791	33112.7
15.4079	33633.9
15.4368	34162.9
15.4657	34699.8
15.4946	35244.7
15.5235	35797.6
15.5523	36358.8
15.5812	36928.3
15.6101	37506.2
15.639	38092.7
15.6679	38687.9
15.6968	39291.9
15.7256	39904.8
15.7545	40526.8
15.7834	41158
15.8123	41798.5
15.8412	42448.4
15.87	43107.9
15.8989	43777.1
15.9278	44456.1
15.9567	45145.1
15.9856	45844.3
