# #E, E1, M1
1.439999999999999947e+00 2.640117743199558724e-08 2.233830108475842258e-08
1.479999999999999982e+00 2.666920277583894824e-08 2.362614849596420428e-08
1.520000000000000018e+00 2.694747384796469500e-08 2.501999140701395123e-08
1.560000000000000053e+00 2.723631511149285010e-08 2.653572562984170401e-08
1.600000000000000089e+00 2.753605504829432815e-08 2.819220828155543123e-08
1.640000000000000124e+00 2.784702629387536078e-08 3.001180927622714495e-08
1.679999999999999938e+00 2.816956577469528843e-08 3.202100232024683871e-08
1.719999999999999973e+00 2.850401484800168444e-08 3.425093230548245719e-08
1.760000000000000009e+00 2.885071944426850405e-08 3.673782598995678190e-08
1.800000000000000044e+00 2.921003021232461844e-08 3.952298879741402066e-08
1.840000000000000080e+00 2.958230266726205946e-08 4.265192037235861316e-08
1.880000000000000115e+00 2.996789734121504439e-08 4.617174604835244224e-08
1.919999999999999929e+00 3.036717993710294747e-08 5.012567454693604655e-08
1.959999999999999964e+00 3.078052148543219217e-08 5.454260539531847939e-08
2.000000000000000000e+00 3.120829850425438986e-08 5.941960727993772115e-08
2.040000000000000036e+00 3.165089316237968250e-08 6.469557329246173473e-08
2.080000000000000071e+00 3.210869344594696943e-08 7.021753944487300232e-08
2.120000000000000107e+00 3.258209332845450203e-08 7.570895357142353525e-08
2.160000000000000142e+00 3.307149294435675841e-08 8.076141161550174505e-08
2.200000000000000178e+00 3.357729876633577347e-08 8.487996996711529586e-08
2.240000000000000213e+00 3.409992378635779305e-08 8.759871669345518466e-08
2.280000000000000249e+00 3.463978770062794057e-08 8.863603164319557396e-08
2.319999999999999840e+00 3.519731709855870821e-08 8.800698385521151993e-08
2.359999999999999876e+00 3.577294565587045332e-08 8.601717639880048741e-08
2.399999999999999911e+00 3.636711433194435111e-08 8.314243486099409204e-08
2.439999999999999947e+00 3.698027157155145034e-08 7.987426844286692524e-08
2.479999999999999982e+00 3.761287351108382821e-08 7.661038838341125066e-08
2.520000000000000018e+00 3.826538418941675899e-08 7.361545058935878047e-08
2.560000000000000053e+00 3.893827576353355698e-08 7.103266686110423339e-08
2.600000000000000089e+00 3.963202872904780512e-08 6.891637293221085105e-08
2.640000000000000124e+00 4.034713214576018205e-08 6.726521964959192385e-08
2.680000000000000160e+00 4.108408386839064725e-08 6.604764568448136191e-08
2.720000000000000195e+00 4.184339078262941728e-08 6.521860514193615262e-08
2.760000000000000231e+00 4.262556904665285313e-08 6.472937660956961386e-08
2.800000000000000266e+00 4.343114433825451419e-08 6.453271992617372300e-08
2.839999999999999858e+00 4.426065210774353387e-08 6.458520470936726758e-08
2.879999999999999893e+00 4.511463783676659434e-08 6.484795061629776114e-08
2.919999999999999929e+00 4.599365730321229939e-08 6.528654646813418733e-08
2.959999999999999964e+00 4.689827685236046299e-08 6.587059323686168675e-08
3.000000000000000000e+00 4.782907367444166392e-08 6.657311543546742383e-08
3.040000000000000036e+00 4.878663608877587726e-08 6.736996771001935922e-08
3.080000000000000071e+00 4.977156383466224969e-08 6.823929723801710372e-08
3.120000000000000107e+00 5.078446836919506317e-08 6.916108679777333658e-08
3.160000000000000142e+00 5.182597317218480291e-08 7.011678493582088873e-08
3.200000000000000178e+00 5.289671405836546228e-08 7.108902070644767483e-08
3.240000000000000213e+00 5.399733949707359818e-08 7.206139649121888375e-08
3.280000000000000249e+00 5.512851093958693988e-08 7.301835090586390995e-08
3.320000000000000284e+00 5.629090315431384186e-08 7.394508339513263917e-08
3.359999999999999876e+00 5.748520457002794160e-08 7.482753208929084813e-08
3.399999999999999911e+00 5.871211762734538768e-08 7.565239650982938430e-08
3.439999999999999947e+00 5.997235913864482234e-08 7.640719664102415848e-08
3.479999999999999982e+00 6.126666065663336033e-08 7.708035972341995462e-08
3.520000000000000018e+00 6.259576885176433332e-08 7.766132593680770361e-08
3.560000000000000053e+00 6.396044589871524278e-08 7.814066401764746507e-08
3.600000000000000089e+00 6.536146987213675988e-08 7.851018790120314901e-08
3.640000000000000124e+00 6.679963515188636349e-08 7.876306578381269718e-08
3.680000000000000160e+00 6.827575283796118046e-08 7.889391363298987245e-08
3.720000000000000195e+00 6.979065117534800675e-08 7.889886616427844114e-08
3.760000000000000231e+00 7.134517598900880565e-08 7.877561964406418382e-08
3.800000000000000266e+00 7.294019112922221618e-08 7.852344251426224634e-08
3.839999999999999858e+00 7.457657892750233242e-08 7.814315167721049655e-08
3.879999999999999893e+00 7.625524066331662354e-08 7.763705420829119164e-08
3.919999999999999929e+00 7.797709704182585681e-08 7.700885614649790047e-08
3.959999999999999964e+00 7.974308868286835655e-08 7.626354171752897131e-08
4.000000000000000000e+00 8.155417662141054804e-08 7.540722775498723784e-08
4.000000000000000000e+00 8.155417662141054804e-08 7.540722775498723784e-08
4.107382550335570315e+00 8.664684502344147979e-08 7.261663124329939376e-08
4.214765100671140630e+00 9.209145319217831853e-08 6.923986018221302450e-08
4.322147651006710944e+00 9.790897137885179845e-08 6.545291155704304384e-08
4.429530201342282147e+00 1.041216418895830971e-07 6.142651385019844670e-08
4.536912751677852462e+00 1.107530650277262041e-07 5.731098134211456926e-08
4.644295302013422777e+00 1.178282901628138354e-07 5.322817882763639807e-08
4.751677852348993092e+00 1.253739120765323583e-07 4.926951743248043010e-08
4.859060402684563407e+00 1.334181726970775687e-07 4.549807476975571472e-08
4.966442953020134610e+00 1.419910682811481809e-07 4.195293123164580250e-08
5.073825503355704925e+00 1.511244620348280680e-07 3.865424774267215449e-08
5.181208053691275239e+00 1.608522020772353839e-07 3.560814832685465309e-08
5.288590604026845554e+00 1.712102445399815129e-07 3.281092862968188953e-08
5.395973154362415869e+00 1.822367814563453983e-07 3.025242817681378268e-08
5.503355704697986184e+00 1.939723729209267624e-07 2.791858891539875759e-08
5.610738255033556499e+00 2.064600827867198771e-07 2.579331066556305119e-08
5.718120805369127702e+00 2.197456169042596027e-07 2.385974183606488643e-08
5.825503355704698016e+00 2.338774625877281890e-07 2.210113900980414016e-08
5.932885906040268331e+00 2.489070276052898354e-07 2.050140993489589731e-08
6.040268456375839534e+00 2.648887765236252249e-07 1.904543145935796593e-08
6.147651006711409849e+00 2.818803616762865828e-07 1.771921221510767587e-08
6.255033557046980164e+00 2.999427453572050461e-07 1.650995149110325531e-08
6.362416107382550479e+00 3.191403090480177090e-07 1.540603118963547238e-08
6.469798657718120793e+00 3.395409445532237057e-07 1.439696671971069072e-08
6.577181208053691108e+00 3.612161208219138231e-07 1.347333455254315443e-08
6.684563758389261423e+00 3.842409189601629321e-07 1.262668831562410942e-08
6.791946308724831738e+00 4.086940264660556677e-07 1.184947117282581861e-08
6.899328859060402053e+00 4.346576800338956685e-07 1.113492937137915618e-08
7.006711409395973256e+00 4.622175443639408384e-07 1.047702987838555690e-08
7.114093959731543571e+00 4.914625122747403658e-07 9.870383714813661535e-09
7.221476510067113885e+00 5.224844090537114808e-07 9.310175729934260238e-09
7.328859060402685088e+00 5.553775814211661696e-07 8.792101004623573364e-09
7.436241610738255403e+00 5.902383487696867287e-07 8.312307729183174274e-09
7.543624161073825718e+00 6.271642915518570665e-07 7.867346201044972055e-09
7.651006711409396033e+00 6.662533489435231774e-07 7.454123481857161193e-09
7.758389261744966348e+00 7.076026953789254222e-07 7.069863208880597835e-09
7.865771812080536662e+00 7.513073634769823964e-07 6.712070049791932622e-09
7.973154362416106977e+00 7.974585795748368737e-07 6.378498307658967162e-09
8.080536912751679068e+00 8.461417779712572830e-07 6.067124213872435668e-09
8.187919463087247607e+00 8.974342615820923256e-07 5.776121484527513610e-09
8.295302013422819698e+00 9.514024806605742139e-07 5.503839755870954323e-09
8.402684563758388236e+00 1.008098908286009982e-06 5.248785554302374666e-09
8.510067114093960328e+00 1.067558502317551783e-06 5.009605494457026986e-09
8.617449664429528866e+00 1.129794759338023862e-06 4.785071434235890443e-09
8.724832214765100957e+00 1.194795387647633001e-06 4.574067347882043837e-09
8.832214765100671272e+00 1.262517654343629903e-06 4.375577707224490409e-09
8.939597315436241587e+00 1.332883496379008953e-06 4.188677187093397496e-09
9.046979865771811902e+00 1.405774527162166554e-06 4.012521533833969842e-09
9.154362416107382217e+00 1.481027117909348200e-06 3.846339456042035739e-09
9.261744966442952531e+00 1.558427784718185651e-06 3.689425414369528411e-09
9.369127516778522846e+00 1.637709165007831780e-06 3.541133202760292128e-09
9.476510067114094937e+00 1.718546915874555561e-06 3.400870227024761673e-09
9.583892617449663476e+00 1.800557905794461472e-06 3.268092398477971928e-09
9.691275167785235567e+00 1.883300092375217542e-06 3.142299570660843011e-09
9.798657718120804105e+00 1.966274474131779342e-06 3.023031456130943276e-09
9.906040268456376197e+00 2.048929465327125854e-06 2.909863968115557064e-09
1.001342281879194651e+01 2.130667963120689201e-06 2.802405938617715593e-09
1.012080536912751683e+01 2.210857252187681560e-06 2.700296170486192332e-09
1.022818791946308714e+01 2.288841725182995602e-06 2.603200786119541342e-09
1.033557046979865746e+01 2.363958195921967216e-06 2.510810839971940334e-09
1.044295302013422777e+01 2.435553361020327240e-06 2.422840165952881968e-09
1.055033557046979809e+01 2.503002746586014677e-06 2.339023434239173907e-09
1.065771812080537018e+01 2.565730285455526181e-06 2.259114395012257062e-09
1.076510067114093872e+01 2.623227534417866201e-06 2.182884289253205313e-09
1.087248322147651081e+01 2.675071483254930253e-06 2.110120409021386725e-09
1.097986577181207934e+01 2.720939943303063111e-06 2.040624791653175428e-09
1.108724832214765144e+01 2.760623635528868907e-06 1.974213034081019633e-09
1.119463087248322175e+01 2.794034315741016949e-06 1.910713215022815981e-09
1.130201342281879207e+01 2.821208553187743358e-06 1.849964914154024774e-09
1.140939597315436238e+01 2.842307084132883960e-06 1.791818318574698615e-09
1.151677852348993270e+01 2.857609955090309143e-06 1.736133407940845299e-09
1.162416107382550301e+01 2.867507913560362566e-06 1.682779210562518437e-09
1.173154362416107332e+01 2.872490666364360376e-06 1.631633123595197349e-09
1.183892617449664542e+01 2.873132686363635323e-06 1.582580291179912530e-09
1.194630872483221395e+01 2.870077198594838981e-06 1.535513035032948858e-09
1.205369127516778427e+01 2.864018818981231652e-06 1.490330332558010532e-09
1.216107382550335636e+01 2.855685064737054254e-06 1.446937338061452303e-09
1.226845637583892668e+01 2.845816625800816276e-06 1.405244943102167471e-09
1.237583892617449699e+01 2.835145911153406947e-06 1.365169372408881091e-09
1.248322147651006730e+01 2.824373007533470701e-06 1.326631812154833823e-09
1.259060402684563762e+01 2.814137881087887253e-06 1.289558067698169071e-09
1.269798657718120793e+01 2.804987526409495641e-06 1.253878248180493072e-09
1.280536912751677825e+01 2.797336992510579418e-06 1.219526475629873572e-09
1.291275167785234856e+01 2.791424028786421802e-06 1.186440616441496468e-09
1.302013422818791888e+01 2.787258776135932210e-06 1.154562033312388864e-09
1.312751677852348919e+01 2.784572709443335760e-06 1.123835355888677362e-09
1.323489932885905951e+01 2.782774895639143055e-06 1.094208268547188812e-09
1.334228187919462982e+01 2.780927973691589339e-06 1.065631313879837945e-09
1.344966442953020191e+01 2.777759593132804356e-06 1.038057710581094551e-09
1.355704697986577223e+01 2.771724914769307118e-06 1.011443184557394262e-09
1.366442953020134254e+01 2.761129454389230307e-06 9.857458121841877587e-10
1.377181208053691286e+01 2.744307729374216729e-06 9.609258747326097704e-10
1.387919463087248317e+01 2.719834146212253514e-06 9.369457230746209445e-10
1.398657718120805349e+01 2.686725221821487227e-06 9.137696518539407073e-10
1.409395973154362380e+01 2.644585782674233929e-06 8.913637823810257411e-10
1.420134228187919412e+01 2.593662331906430799e-06 8.696959535745196280e-10
1.430872483221476443e+01 2.534792116721242680e-06 8.487356203297128863e-10
1.441610738255033475e+01 2.469265983618224541e-06 8.284537587472345150e-10
1.452348993288590506e+01 2.398644039044894418e-06 8.088227777029803213e-10
1.463087248322147715e+01 2.324568088560785378e-06 7.898164362836646891e-10
1.473825503355704747e+01 2.248605246774122604e-06 7.714097666518139371e-10
1.484563758389261778e+01 2.172140408329915063e-06 7.535790019398662210e-10
1.495302013422818810e+01 2.096319372949484248e-06 7.363015088056882350e-10
1.506040268456375841e+01 2.022033961348484314e-06 7.195557243115281948e-10
1.516778523489932873e+01 1.949936209181814896e-06 7.033210968155439070e-10
1.527516778523489904e+01 1.880469064162588870e-06 6.875780305897560266e-10
1.538255033557046936e+01 1.813903706000324209e-06 6.723078339008489163e-10
1.548993288590603967e+01 1.750376891995163266e-06 6.574926703108822616e-10
1.559731543624160999e+01 1.689924604357677879e-06 6.431155129738159460e-10
1.570469798657718030e+01 1.632510373458971024e-06 6.291601017210304911e-10
1.581208053691275062e+01 1.578047982899012141e-06 6.156109027448154194e-10
1.591946308724832271e+01 1.526418993266846380e-06 6.024530707032841039e-10
1.602684563758389302e+01 1.477485844686307323e-06 5.896724130834605671e-10
1.613422818791946156e+01 1.431101375528656935e-06 5.772553566714590670e-10
1.624161073825503365e+01 1.387115541428845761e-06 5.651889159898847797e-10
1.634899328859060574e+01 1.345380008467360987e-06 5.534606635728512629e-10
1.645637583892617428e+01 1.305751169426660933e-06 5.420587019584763351e-10
1.656375838926174282e+01 1.268092014143557918e-06 5.309716372874134271e-10
1.667114093959731491e+01 1.232273183443739664e-06 5.201885544039910509e-10
1.677852348993288700e+01 1.198173453346466936e-06 5.096989933639051747e-10
1.688590604026845554e+01 1.165679831115464688e-06 4.994929272592171963e-10
1.699328859060402408e+01 1.134687394829945673e-06 4.895607412776797189e-10
1.710067114093959617e+01 1.105098970632309974e-06 4.798932129192143845e-10
1.720805369127516826e+01 1.076824714024089489e-06 4.704814932977029900e-10
1.731543624161074035e+01 1.049781641257593193e-06 4.613170894611948440e-10
1.742281879194630889e+01 1.023893142164331758e-06 4.523918476682198290e-10
1.753020134228187743e+01 9.990884952267659416e-07 4.436979375620992323e-10
1.763758389261744952e+01 9.753023982306096119e-07 4.352278371890804771e-10
1.774496644295302161e+01 9.524745225971696600e-07 4.269743188097364573e-10
1.785234899328859015e+01 9.305490958696314990e-07 4.189304354564254345e-10
1.795973154362415869e+01 9.094745143576660346e-07 4.110895081927290754e-10
1.806711409395973078e+01 8.892029862981228018e-07 4.034451140336713663e-10
1.817449664429530287e+01 8.696902048240545842e-07 3.959910744882008928e-10
1.828187919463087141e+01 8.508950493755039093e-07 3.887214446879088942e-10
1.838926174496644350e+01 8.327793138080947559e-07 3.816305030682680861e-10
1.849664429530201204e+01 8.153074592701502599e-07 3.747127415708328849e-10
1.860402684563758413e+01 7.984463898622853470e-07 3.679628563368326848e-10
1.871140939597315622e+01 7.821652491205715861e-07 3.613757388644576155e-10
1.881879194630872476e+01 7.664352354439826947e-07 3.549464676038640863e-10
1.892617449664429330e+01 7.512294346973517922e-07 3.486702999655438836e-10
1.903355704697986539e+01 7.365226683476013810e-07 3.425426647192035318e-10
1.914093959731543748e+01 7.222913556235547751e-07 3.365591547617005705e-10
1.924832214765100602e+01 7.085133883217385209e-07 3.307155202338921117e-10
1.935570469798657456e+01 6.951680170079958359e-07 3.250076619674694213e-10
1.946308724832214665e+01 6.822357474850646180e-07 3.194316252439957433e-10
1.957046979865771874e+01 6.696982465081023598e-07 3.139835938494214159e-10
1.967785234899329083e+01 6.575382558329864080e-07 3.086598844083487806e-10
1.978523489932885937e+01 6.457395137759516273e-07 3.034569409832468685e-10
1.989261744966442791e+01 6.342866835480635451e-07 2.983713299246845895e-10
2.000000000000000000e+01 6.231652877046041363e-07 2.933997349594661321e-10
